interval,haiti,earthquake,helphaiti,cnn,haitiquake,news,fb,oxfam,haitian,tcot,omgfacts,yele,help,wyclefwarriors,p2,worldwednesday,ireport,aid,msf,vols
2010-01-13 03:15:00,131,47,8,10,18,7,7,0,0,4,0,2,0,1,2,0,0,0,0,0
2010-01-13 03:30:00,178,75,6,22,15,5,10,0,1,3,0,4,0,0,2,0,1,0,0,1
2010-01-13 03:45:00,154,57,10,16,19,7,10,0,1,2,1,2,0,2,3,0,0,0,0,1
2010-01-13 04:00:00,163,80,8,15,19,6,11,0,0,6,0,2,2,9,3,0,2,2,0,0
2010-01-13 04:15:00,120,45,8,17,10,5,7,0,0,6,0,2,2,8,5,0,2,0,0,0
2010-01-13 04:30:00,174,58,4,11,11,7,5,0,0,1,1,7,1,9,1,0,1,0,0,0
2010-01-13 04:45:00,127,64,9,12,11,11,8,0,0,3,0,3,1,2,2,1,0,4,0,0
2010-01-13 05:00:00,172,85,5,27,9,15,4,0,0,1,0,8,20,4,1,5,0,0,0,0
2010-01-13 05:15:00,180,52,4,9,7,7,9,0,0,0,0,1,8,1,2,1,1,0,0,0
2010-01-13 05:30:00,158,69,3,4,3,5,6,0,0,3,0,1,2,4,0,1,0,0,0,0
2010-01-13 05:45:00,169,72,9,6,12,10,11,0,0,3,0,2,2,1,5,0,1,0,0,0
2010-01-13 06:00:00,120,57,15,7,6,7,4,0,0,4,2,3,2,0,5,1,1,0,0,0
2010-01-13 06:15:00,149,52,9,4,5,6,6,0,0,3,0,4,2,3,0,0,0,1,0,0
2010-01-13 06:30:00,131,64,11,4,2,8,8,0,0,3,0,2,3,8,1,0,0,0,0,0
2010-01-13 06:45:00,86,33,10,6,3,5,4,0,0,0,1,5,1,1,0,0,1,0,0,0
2010-01-13 07:00:00,159,76,6,5,15,4,3,0,0,2,6,4,4,2,0,0,0,0,0,0
2010-01-13 07:15:00,115,53,7,1,4,2,3,0,0,0,4,3,1,1,0,0,1,2,0,0
2010-01-13 07:30:00,70,37,11,2,6,1,2,0,0,4,7,3,0,0,7,0,1,0,0,0
2010-01-13 07:45:00,116,39,9,2,6,1,4,0,0,1,17,1,1,0,5,0,0,0,0,0
2010-01-13 08:00:00,94,48,4,3,3,2,2,0,0,2,6,3,0,1,1,0,0,0,10,0
2010-01-13 08:15:00,77,40,4,4,7,8,2,0,0,3,4,3,0,0,0,1,0,6,2,0
2010-01-13 08:30:00,66,43,7,2,4,2,3,0,0,2,5,4,0,0,0,0,0,3,2,0
2010-01-13 08:45:00,64,34,0,4,3,7,2,2,0,0,5,1,2,1,0,0,2,2,1,0
2010-01-13 09:00:00,150,50,3,1,2,4,1,38,0,1,1,6,3,1,0,10,0,2,3,0
2010-01-13 09:15:00,109,56,4,1,0,6,0,16,1,0,2,2,1,3,0,10,0,0,0,0
2010-01-13 09:30:00,105,57,5,2,1,4,2,9,0,1,2,1,0,1,1,4,0,0,0,0
2010-01-13 09:45:00,70,29,5,4,1,4,0,10,1,0,1,0,1,0,1,4,0,0,2,0
2010-01-13 10:00:00,81,25,6,0,3,3,0,13,0,0,1,4,0,1,1,0,0,0,0,0
2010-01-13 10:15:00,64,35,1,2,0,0,0,4,0,1,2,1,0,0,1,0,0,2,4,0
2010-01-13 10:30:00,67,24,6,1,1,1,2,12,0,0,2,1,0,0,0,0,0,1,0,0
2010-01-13 10:45:00,123,50,2,1,0,1,2,6,0,0,0,1,1,0,2,0,1,2,4,0
2010-01-13 11:00:00,105,60,7,15,2,6,2,0,0,0,2,3,0,0,0,2,1,1,1,0
2010-01-13 11:15:00,91,39,2,6,1,1,2,0,0,0,1,3,2,0,0,0,0,1,1,0
2010-01-13 11:30:00,130,65,1,7,2,2,4,4,0,0,1,1,1,0,0,0,0,1,0,0
