time.interval,hash.tag,count
2010-01-13 03:15:00,haiti,131
2010-01-13 03:15:00,earthquake,47
2010-01-13 03:15:00,helphaiti,8
2010-01-13 03:15:00,cnn,10
2010-01-13 03:15:00,haitiquake,18
2010-01-13 03:15:00,news,7
2010-01-13 03:15:00,fb,7
2010-01-13 03:15:00,oxfam,0
2010-01-13 03:15:00,haitian,0
2010-01-13 03:15:00,tcot,4
2010-01-13 03:15:00,omgfacts,0
2010-01-13 03:15:00,yele,2
2010-01-13 03:15:00,help,0
2010-01-13 03:15:00,wyclefwarriors,1
2010-01-13 03:15:00,p2,2
2010-01-13 03:15:00,worldwednesday,0
2010-01-13 03:15:00,ireport,0
2010-01-13 03:15:00,aid,0
2010-01-13 03:15:00,msf,0
2010-01-13 03:15:00,vols,0
2010-01-13 03:30:00,haiti,178
2010-01-13 03:30:00,earthquake,75
2010-01-13 03:30:00,helphaiti,6
2010-01-13 03:30:00,cnn,22
2010-01-13 03:30:00,haitiquake,15
2010-01-13 03:30:00,news,5
2010-01-13 03:30:00,fb,10
2010-01-13 03:30:00,oxfam,0
2010-01-13 03:30:00,haitian,1
2010-01-13 03:30:00,tcot,3
2010-01-13 03:30:00,omgfacts,0
2010-01-13 03:30:00,yele,4
2010-01-13 03:30:00,help,0
2010-01-13 03:30:00,wyclefwarriors,0
2010-01-13 03:30:00,p2,2
2010-01-13 03:30:00,worldwednesday,0
2010-01-13 03:30:00,ireport,1
2010-01-13 03:30:00,aid,0
2010-01-13 03:30:00,msf,0
2010-01-13 03:30:00,vols,1
2010-01-13 03:45:00,haiti,154
2010-01-13 03:45:00,earthquake,57
2010-01-13 03:45:00,helphaiti,10
2010-01-13 03:45:00,cnn,16
2010-01-13 03:45:00,haitiquake,19
2010-01-13 03:45:00,news,7
2010-01-13 03:45:00,fb,10
2010-01-13 03:45:00,oxfam,0
2010-01-13 03:45:00,haitian,1
2010-01-13 03:45:00,tcot,2
2010-01-13 03:45:00,omgfacts,1
2010-01-13 03:45:00,yele,2
2010-01-13 03:45:00,help,0
2010-01-13 03:45:00,wyclefwarriors,2
2010-01-13 03:45:00,p2,3
2010-01-13 03:45:00,worldwednesday,0
2010-01-13 03:45:00,ireport,0
2010-01-13 03:45:00,aid,0
2010-01-13 03:45:00,msf,0
2010-01-13 03:45:00,vols,1
2010-01-13 04:00:00,haiti,163
2010-01-13 04:00:00,earthquake,80
2010-01-13 04:00:00,helphaiti,8
2010-01-13 04:00:00,cnn,15
