time.interval,hash.tag,count
2010-01-13 03:15:00,haiti,131
2010-01-13 03:15:00,earthquake,47
2010-01-13 03:15:00,helphaiti,8
2010-01-13 03:15:00,cnn,10
2010-01-13 03:15:00,haitiquake,18
2010-01-13 03:15:00,news,7
2010-01-13 03:15:00,fb,7
2010-01-13 03:15:00,oxfam,0
2010-01-13 03:15:00,haitian,0
2010-01-13 03:15:00,tcot,4
2010-01-13 03:15:00,omgfacts,0
2010-01-13 03:15:00,yele,2
2010-01-13 03:15:00,help,0
2010-01-13 03:15:00,wyclefwarriors,1
2010-01-13 03:15:00,p2,2
2010-01-13 03:15:00,worldwednesday,0
2010-01-13 03:15:00,ireport,0
2010-01-13 03:15:00,aid,0
2010-01-13 03:15:00,msf,0
2010-01-13 03:15:00,vols,0
2010-01-13 03:30:00,haiti,309
2010-01-13 03:30:00,earthquake,122
2010-01-13 03:30:00,helphaiti,14
2010-01-13 03:30:00,cnn,32
2010-01-13 03:30:00,haitiquake,33
2010-01-13 03:30:00,news,12
2010-01-13 03:30:00,fb,17
2010-01-13 03:30:00,oxfam,0
2010-01-13 03:30:00,haitian,1
2010-01-13 03:30:00,tcot,7
2010-01-13 03:30:00,omgfacts,0
2010-01-13 03:30:00,yele,6
2010-01-13 03:30:00,help,0
2010-01-13 03:30:00,wyclefwarriors,1
2010-01-13 03:30:00,p2,4
2010-01-13 03:30:00,worldwednesday,0
2010-01-13 03:30:00,ireport,1
2010-01-13 03:30:00,aid,0
2010-01-13 03:30:00,msf,0
2010-01-13 03:30:00,vols,1
2010-01-13 03:45:00,haiti,463
2010-01-13 03:45:00,earthquake,179
2010-01-13 03:45:00,helphaiti,24
2010-01-13 03:45:00,cnn,48
2010-01-13 03:45:00,haitiquake,52
2010-01-13 03:45:00,news,19
2010-01-13 03:45:00,fb,27
2010-01-13 03:45:00,oxfam,0
2010-01-13 03:45:00,haitian,2
2010-01-13 03:45:00,tcot,9
2010-01-13 03:45:00,omgfacts,1
2010-01-13 03:45:00,yele,8
2010-01-13 03:45:00,help,0
2010-01-13 03:45:00,wyclefwarriors,3
2010-01-13 03:45:00,p2,7
2010-01-13 03:45:00,worldwednesday,0
2010-01-13 03:45:00,ireport,1
2010-01-13 03:45:00,aid,0
2010-01-13 03:45:00,msf,0
2010-01-13 03:45:00,vols,2
2010-01-13 04:00:00,haiti,626
2010-01-13 04:00:00,earthquake,259
2010-01-13 04:00:00,helphaiti,32
2010-01-13 04:00:00,cnn,63
