hash.tag, count
haiti,11674
earthquake,4173
helphaiti,522
cnn,433
haitiquake,411
news,398
fb,377
oxfam,277
haitian,271
tcot,217
omgfacts,215
yele,206
help,168
wyclefwarriors,165
p2,149
worldwednesday,130
ireport,99
aid,94
msf,86
vols,84
wecare,75
relief,73
quake,73
pray4haiti,73
disaster,71
redcross,65
latism,65
prayforhaiti,63
pleaseexplainwhy,61
photos,60
140conf,59
video,56
haitiearthquake,55
socialmedia,53
fakerumor,52
twitter,52
nowplaying,49
charity,49
dontfollowmeif,46
uksnow,46
worldvision,43
un,41
donate,40
terremoto,40
sot,36
warriors,36
rt,36
hcr,35
photography,33
teamconan,33
